Cycle,Date,Shares,Pool,Portfolio Value
0,2014-01-22,97,1.7187888622283936,250.0
1,2014-02-11,196,0.3493826389312744,498.01002526283264
2,2014-03-04,287,0.5869805812835693,788.2991716861725
3,2014-03-24,386,0.6114046573638916,975.2636501789093
4,2014-04-11,501,1.3147943019866943,1087.380896806717
5,2014-05-02,604,0.893136739730835,1469.3851869106293
6,2014-05-22,701,1.9875073432922363,1800.7797362804413
7,2014-06-12,790,1.3775346279144287,2225.89302277565
8,2014-07-02,870,1.6431329250335693,2717.504751443863
9,2014-07-23,870,251.64313292503357,3146.3684747219086
10,2014-08-12,870,501.64313292503357,3226.9562408924103
11,2014-09-02,870,751.6431329250336,3892.0874950885773
12,2014-09-22,870,1001.6431329250336,4061.931953191757
13,2014-10-10,1284,2.241223096847534,3877.1978709697723
14,2014-10-30,0,4826.663267850876,4826.663267850876
15,2014-11-19,1298,1.6843101978302002,5076.663267850876
16,2014-12-10,0,5321.44100689888,5321.44100689888
17,2014-12-31,1420,3.0925180912017822,5571.44100689888
18,2015-01-22,0,5912.292075395584,5912.292075395584
19,2015-02-11,1520,2.4134209156036377,6162.292075395584
20,2015-03-04,0,7066.754317522049,7066.754317522049
21,2015-03-24,1650,3.9304497241973877,7316.754317522049
22,2015-04-14,0,7382.885098695755,7382.885098695755
23,2015-05-04,1677,1.2361376285552979,7632.885098695755
24,2015-05-22,0,7500.0,7500.0
25,2015-06-12,1738,0.22797298431396484,7750.0
26,2015-07-02,0,7500.0,7500.0
27,2015-07-23,1586,0.7961893081665039,7750.0
28,2015-08-12,0,7500.0,7500.0
29,2015-09-01,2231,1.6416771411895752,7750.0
30,2015-09-22,0,7500.0,7500.0
31,2015-10-12,1913,3.6203150749206543,7750.0
32,2015-10-30,0,7500.0,7500.0
33,2015-11-19,1601,1.6025371551513672,7750.0
34,2015-12-10,0,7500.0,7500.0
35,2015-12-31,1685,3.963198661804199,7750.0
36,2016-01-22,1685,253.9631986618042,6323.036714792252
37,2016-02-11,1860,1.6094112396240234,5340.912523269653
38,2016-03-03,0,7162.83652305603,7162.83652305603
39,2016-03-23,1894,1.786818504333496,7412.83652305603
40,2016-04-13,0,7500.0,7500.0
41,2016-05-03,2081,0.849219799041748,7750.0
42,2016-05-23,0,7500.0,7500.0
43,2016-06-13,1965,1.8258821964263916,7750.0
44,2016-07-01,0,7500.0,7500.0
45,2016-07-22,1700,0.0023365020751953125,7750.0
46,2016-08-11,0,7500.0,7500.0
47,2016-08-31,1584,2.2816925048828125,7750.0
48,2016-09-21,0,7500.0,7500.0
49,2016-10-11,1543,2.2513341903686523,7750.0
50,2016-10-31,0,7500.0,7500.0
51,2016-11-18,1564,0.028860092163085938,7750.0
52,2016-12-09,0,7500.0,7500.0
53,2016-12-30,1513,3.1010894775390625,7750.0
54,2017-01-23,0,7500.0,7500.0
55,2017-02-10,1225,4.186034202575684,7750.0
56,2017-03-03,0,7500.0,7500.0
57,2017-03-23,1141,6.3505330085754395,7750.0
58,2017-04-12,0,7500.0,7500.0
59,2017-05-03,989,1.5108323097229004,7750.0
60,2017-05-23,0,7500.0,7500.0
61,2017-06-13,927,7.505708694458008,7750.0
62,2017-07-03,927,257.505708694458,7345.653949260712
63,2017-07-24,0,7500.0,7500.0
64,2017-08-11,900,1.9341468811035156,7750.0
65,2017-08-31,0,7500.0,7500.0
66,2017-09-21,858,4.40568733215332,7750.0
67,2017-10-11,0,7500.0,7500.0
68,2017-10-31,740,10.064334869384766,7750.0
69,2017-11-20,0,7500.0,7500.0
70,2017-12-11,694,1.875223159790039,7750.0
71,2018-01-02,0,7500.0,7500.0
72,2018-01-23,540,11.786136627197266,7750.0
73,2018-02-12,540,261.78613662719727,6509.64262008667
74,2018-03-05,0,7500.0,7500.0
75,2018-03-23,685,8.075094223022461,7750.0
76,2018-04-13,0,7500.0,7500.0
77,2018-05-03,662,2.673931121826172,7750.0
78,2018-05-23,0,7500.0,7500.0
79,2018-06-13,521,13.161229133605957,7750.0
80,2018-07-03,521,263.16122913360596,7355.891927719116
81,2018-07-24,0,7500.0,7500.0
82,2018-08-13,489,11.336323738098145,7750.0
83,2018-08-31,0,7500.0,7500.0
84,2018-09-21,468,5.787567138671875,7750.0
85,2018-10-11,468,255.78756713867188,6302.6689529418945
86,2018-10-31,468,505.7875671386719,6405.7624168396
87,2018-11-20,541,8.411067008972168,5547.187595367432
88,2018-12-12,541,258.41106700897217,6318.406023979187
89,2019-01-03,602,7.972564697265625,4946.726308822632
90,2019-01-24,602,257.9725646972656,6548.951677322388
91,2019-02-13,0,7500.0,7500.0
92,2019-03-06,624,10.035934448242188,7750.0
93,2019-03-26,0,7500.0,7500.0
94,2019-04-15,512,7.521484375,7750.0
95,2019-05-06,0,7500.0,7500.0
96,2019-05-24,592,9.147323608398438,7750.0
97,2019-06-14,0,7500.0,7500.0
98,2019-07-05,485,5.234417915344238,7750.0
99,2019-07-25,0,7500.0,7500.0
100,2019-08-14,566,0.019025802612304688,7750.0
101,2019-09-04,0,7500.0,7500.0
102,2019-09-24,525,7.762050628662109,7750.0
103,2019-10-14,0,7500.0,7500.0
104,2019-11-01,450,3.5898208618164062,7750.0
105,2019-11-21,0,7500.0,7500.0
106,2019-12-12,404,15.657150268554688,7750.0
107,2020-01-03,0,7500.0,7500.0
108,2020-01-24,324,2.1372909545898438,7750.0
109,2020-02-13,0,7500.0,7500.0
110,2020-03-05,394,19.428089141845703,7750.0
111,2020-03-25,420,1.7449455261230469,4325.857265472412
112,2020-04-15,420,251.74494552612305,6531.107757568359
113,2020-05-05,420,501.74494552612305,7396.949756622314
114,2020-05-26,0,7500.0,7500.0
115,2020-06-15,364,17.952056884765625,7750.0
116,2020-07-06,0,7500.0,7500.0
117,2020-07-24,301,8.82331657409668,7750.0
118,2020-08-13,0,7500.0,7500.0
119,2020-09-02,183,21.961742401123047,7750.0
120,2020-09-23,192,26.343185424804688,5266.20573425293
121,2020-10-13,192,276.3431854248047,7443.69841003418
122,2020-11-02,210,14.636070251464844,5984.55241394043
123,2020-11-20,0,7500.0,7500.0
124,2020-12-11,198,22.345748901367188,7750.0
125,2021-01-04,0,7500.0,7500.0
126,2021-01-25,155,0.884552001953125,7750.0
127,2021-02-12,0,7500.0,7500.0
128,2021-03-05,191,8.090442657470703,7750.0
129,2021-03-25,0,7500.0,7500.0
130,2021-04-15,143,45.129844665527344,7750.0
131,2021-05-05,143,295.12984466552734,7156.4367027282715
132,2021-05-25,143,545.1298446655273,7587.74401473999
133,2021-06-15,0,7500.0,7500.0
134,2021-07-06,124,43.93952941894531,7750.0
135,2021-07-26,0,7500.0,7500.0
136,2021-08-13,116,51.6044921875,7750.0
137,2021-09-02,0,7500.0,7500.0
138,2021-09-23,113,18.295364379882812,7750.0
139,2021-10-13,113,268.2953643798828,7173.183589935303
140,2021-11-02,0,7500.0,7500.0
141,2021-11-22,93,54.14073181152344,7750.0
142,2021-12-13,93,304.14073181152344,7517.0970458984375
143,2022-01-03,0,7500.0,7500.0
144,2022-01-24,139,15.80306625366211,7750.0
145,2022-02-11,139,265.8030662536621,7433.623146057129
146,2022-03-04,139,515.8030662536621,6985.406692504883
147,2022-03-24,0,7500.0,7500.0
148,2022-04-13,158,44.34595489501953,7750.0
149,2022-05-04,158,294.34595489501953,6738.408477783203
150,2022-05-24,178,23.64263916015625,4657.902149200439
151,2022-06-14,190,3.8447647094726562,4275.644443511963
152,2022-07-06,200,0.8487586975097656,5060.768878936768
153,2022-07-26,200,250.84875869750977,5541.117084503174
154,2022-08-15,0,7500.0,7500.0
155,2022-09-02,300,3.3283233642578125,7750.0
156,2022-09-23,300,253.3283233642578,6440.793991088867
157,2022-10-13,300,503.3283233642578,6110.08358001709
158,2022-11-02,300,753.3283233642578,6037.788772583008
159,2022-11-22,300,1003.3283233642578,7411.4641189575195
160,2022-12-13,300,1253.3283233642578,7736.956787109375
161,2023-01-04,389,16.65140151977539,6514.598846435547
162,2023-01-25,0,7500.0,7500.0
163,2023-02-14,312,12.854888916015625,7750.0
164,2023-03-07,312,262.8548889160156,7147.061859130859
165,2023-03-27,0,7500.0,7500.0
166,2023-04-17,287,26.83387565612793,7750.0
167,2023-05-05,0,7500.0,7500.0
168,2023-05-25,243,17.18528175354004,7750.0
169,2023-06-15,0,7500.0,7500.0
170,2023-07-07,198,0.6811904907226562,7750.0
171,2023-07-27,0,7500.0,7500.0
172,2023-08-16,208,21.74755859375,7750.0
173,2023-09-06,0,7500.0,7500.0
174,2023-09-26,228,3.4681243896484375,7750.0
175,2023-10-16,0,7500.0,7500.0
176,2023-11-03,209,12.826282501220703,7750.0
177,2023-11-24,0,7500.0,7500.0
178,2023-12-14,161,32.48934555053711,7750.0
